变量,分组统计,"死亡组(n=3,002)","存活组(n=13,497)",缺失n(%),SMD,p
年龄（岁）,72.6±14.8 / 66.9±15.6,72.6±14.8,66.9±15.6,0(0.0%),0.371,<0.0001
SOFA 总分,,4.0(2.0-5.0),3.0(2.0-4.0),0(0.0%),0.326,<0.0001
SOFA-呼吸,,0.0(0.0-1.0),0.0(0.0-1.0),0(0.0%),-0.12,<0.0001
SOFA-凝血,,0.0(0.0-1.0),0.0(0.0-1.0),0(0.0%),-0.006,<0.0001
SOFA-肝脏,,0.0(0.0-0.0),0.0(0.0-0.0),0(0.0%),0.243,<0.0001
SOFA-心血管,,1.0(0.0-3.0),1.0(0.0-1.0),0(0.0%),0.244,<0.0001
SOFA-神经,,0.0(0.0-1.0),0.0(0.0-0.0),0(0.0%),0.07,<0.0001
SOFA-肾脏,,0.0(0.0-1.0),0.0(0.0-1.0),0(0.0%),0.209,<0.0001
qSOFA,,3.0(2.0-3.0),3.0(2.0-3.0),0(0.0%),0.304,<0.0001
NEWS,,14.0(11.0-16.0),12.0(10.0-14.0),0(0.0%),0.541,<0.0001
MEWS,,8.0(6.0-10.0),6.0(5.0-8.0),0(0.0%),0.553,<0.0001
乳酸（mmol/L）,,2.3(1.5-4.2),1.6(1.1-2.3),3292(20.0%),0.597,<0.0001
Charlson 指数,,7.0(5.0-9.0),5.0(3.0-7.0),0(0.0%),0.615,<0.0001
入 ICU 前住院时长（h）,,1.5(0.5-4.0),1.9(0.8-14.2),0(0.0%),0.089,<0.0001
ECG 距 t0 时间（h，带符号）,,-0.1(-0.9-1.4),0.1(-0.8-2.5),0(0.0%),-0.052,<0.0001
男性,,"1,640(54.6%)","8,011(59.4%)",0(0.0%),-0.096,<0.0001
急诊入院,,"2,947(98.2%)","10,962(81.2%)",0(0.0%),0.58,<0.0001
有创机械通气（t0±24h）,,"1,710(57.0%)","7,260(53.8%)",0(0.0%),0.064,0.00171
血管活性药物（t0±24h）,,"1,646(54.8%)","6,277(46.5%)",0(0.0%),0.167,<0.0001
感染部位-呼吸,,375(12.5%),"1,064(7.9%)",0(0.0%),0.153,<0.0001
感染部位-腹腔,,27(0.9%),79(0.6%),0(0.0%),0.037,0.0685
感染部位-泌尿,,647(21.6%),"3,321(24.6%)",0(0.0%),-0.073,0.000437
感染部位-血流,,"1,006(33.5%)","2,717(20.1%)",0(0.0%),0.306,<0.0001
感染部位-其他,,947(31.5%),"6,316(46.8%)",0(0.0%),-0.316,<0.0001
