z,target,target_cn,spearman_rho,p,fdr_sig
z1,sofa_respiration,呼吸,-0.08577995084640742,1.2390003564138676e-20,True
z1,sofa_coagulation,凝血,-0.0707633446362703,1.6109440850426116e-14,True
z1,sofa_liver,肝脏,0.0686541003498027,9.406830404012439e-14,True
z1,sofa_cardiovascular,心血管,0.008651851608674807,0.34843130162027924,False
z1,sofa_cns,神经,0.044304871032127546,1.5570710093048119e-06,True
z1,sofa_renal,肾脏,0.03822691139970289,3.4093778888545715e-05,True
z1,lactate,乳酸,0.13705504336020824,2.321224340754681e-50,True
z2,sofa_respiration,呼吸,0.07993700384265269,4.0697555852140945e-18,True
z2,sofa_coagulation,凝血,0.08953644838731564,2.4110672591480497e-22,True
z2,sofa_liver,肝脏,-0.05227924702936429,1.4322668102932672e-08,True
z2,sofa_cardiovascular,心血管,-0.024406375434836643,0.00816033682840118,True
z2,sofa_cns,神经,-0.0545921576166124,3.2061519916893585e-09,True
z2,sofa_renal,肾脏,-0.0595123230173916,1.0808058204213344e-10,True
z2,lactate,乳酸,-0.14497225171248657,3.397856219934695e-56,True
z3,sofa_respiration,呼吸,-0.06665652172124546,4.768204056826951e-13,True
z3,sofa_coagulation,凝血,-0.08614620127198662,8.501050712365892e-21,True
z3,sofa_liver,肝脏,0.06691860246857152,3.8639129934473697e-13,True
z3,sofa_cardiovascular,心血管,0.014985823877899929,0.10434687957650143,False
z3,sofa_cns,神经,0.04403884159202608,1.7980036650678044e-06,True
z3,sofa_renal,肾脏,0.018179804900421283,0.04879879360037807,False
z3,lactate,乳酸,0.13455452602635512,1.3750787636542813e-48,True
z4,sofa_respiration,呼吸,0.021361003685130036,0.020602001344017167,True
z4,sofa_coagulation,凝血,0.025840907992042198,0.00509603552423873,True
z4,sofa_liver,肝脏,-0.03727239222264642,5.329432946202891e-05,True
z4,sofa_cardiovascular,心血管,0.0077562101291018355,0.40058943665731905,False
z4,sofa_cns,神经,-0.0066823840202611725,0.46894805187238947,False
z4,sofa_renal,肾脏,-0.01958463894122605,0.033784791551571464,True
z4,lactate,乳酸,-0.0670779371830192,3.3988594901142144e-13,True
z5,sofa_respiration,呼吸,0.014302973163502701,0.1211123020202937,False
z5,sofa_coagulation,凝血,0.045841193842386094,6.677467650530782e-07,True
z5,sofa_liver,肝脏,-0.004599134493659666,0.6181878715331736,False
z5,sofa_cardiovascular,心血管,-0.033498334404417816,0.0002819949300712083,True
z5,sofa_cns,神经,-0.02070999281535231,0.024792218054039347,True
z5,sofa_renal,肾脏,-0.03916449246889417,2.1765457426361338e-05,True
z5,lactate,乳酸,-0.07870804953189302,1.3077323632725255e-17,True
z6,sofa_respiration,呼吸,0.06437702664668021,2.87066101029026e-12,True
z6,sofa_coagulation,凝血,0.05650344932862856,8.882841821569855e-10,True
z6,sofa_liver,肝脏,-0.08543972474645171,1.7555996432751857e-20,True
z6,sofa_cardiovascular,心血管,0.019603282818223364,0.03361566306810968,True
z6,sofa_cns,神经,-0.027333016749648224,0.0030496513529309757,True
z6,sofa_renal,肾脏,-0.03613178441463338,8.967476131090986e-05,True
z6,lactate,乳酸,-0.11135598355098958,9.871741941183005e-34,True
z7,sofa_respiration,呼吸,-0.08302923237821676,1.993759476633751e-19,True
z7,sofa_coagulation,凝血,-0.07163130065281152,7.676008814073123e-15,True
z7,sofa_liver,肝脏,0.07402833897218616,9.463289389050963e-16,True
z7,sofa_cardiovascular,心血管,-0.003329202129981585,0.7182538664797534,False
z7,sofa_cns,神经,0.0541443084246378,4.304733131683917e-09,True
z7,sofa_renal,肾脏,0.018053241030240873,0.05039144637823648,False
z7,lactate,乳酸,0.14562608360957846,1.0820164600351373e-56,True
z8,sofa_respiration,呼吸,-0.03769295934202565,4.382784733920759e-05,True
z8,sofa_coagulation,凝血,-0.051412009953590514,2.470871089661394e-08,True
z8,sofa_liver,肝脏,0.05301736828785359,8.943141211741668e-09,True
z8,sofa_cardiovascular,心血管,0.04486902942805501,1.1445767724711994e-06,True
z8,sofa_cns,神经,0.014355701505553703,0.11974688455723875,False
z8,sofa_renal,肾脏,0.05563237452544714,1.6028027533589436e-09,True
