file,shape,id_like_cols,dup_cols,all_nan,const_cols,stay_unique,id_twins
clinical_scores.parquet,16499x14,subject_id;stay_id,,,,1.0,
clinical_scores_all.parquet,31857x14,subject_id;stay_id,,,,1.0,
cohort_base.parquet,31857x34,subject_id;hadm_id;stay_id,,,age_ok;first_episode_ok;icu6h_ok;alive_ok;in_cohort,1.0,
cohort_ecg.parquet,16499x52,subject_id;hadm_id;stay_id;study_id,,read_error,age_ok;first_episode_ok;icu6h_ok;alive_ok;in_cohort;fs;sig_len;n_sig;duration_s;exclusion_reason;ecg_available,1.0,
cohort_episodes.parquet,41295x34,subject_id;hadm_id;stay_id,,,age_ok,1.0,
covariates.parquet,16499x7,subject_id;stay_id,,,,1.0,
covariates_all.parquet,31857x7,subject_id;stay_id,,,,1.0,
ecg_linked.parquet,31857x52,subject_id;hadm_id;stay_id;study_id,,read_error,age_ok;first_episode_ok;icu6h_ok;alive_ok;in_cohort;fs;sig_len;n_sig;duration_s,1.0,
ecg_qc_metrics.parquet,20065x12,subject_id;study_id,,read_error,fs;sig_len;n_sig;duration_s,,
ecg_rhythm_flags.parquet,18639x6,subject_id;stay_id;study_id,,,,1.0,
features_dev.parquet,14780x87,subject_id;stay_id;study_id,,,cohort_period,1.0,
features_temporal.parquet,1719x87,subject_id;stay_id;study_id,,,cohort_period;subset;anchor_year_group,1.0,
features_trackA.parquet,16499x19,subject_id;stay_id,,,load_ok,1.0,
features_trackB.parquet,16499x35,subject_id;stay_id,,,load_ok,1.0,
m1plus_features.parquet,16499x87,subject_id;stay_id,,,,1.0,
m1plus_features_all.parquet,31857x87,subject_id;stay_id,,,,1.0,
mice_lactate.parquet,16499x23,subject_id;stay_id,,,,1.0,
outcomes.parquet,31857x10,subject_id;stay_id,,,,1.0,
s1_features_trackA.parquet,8941x19,subject_id;stay_id,,,load_ok,1.0,
s1_link.parquet,16499x6,subject_id;stay_id;study_id,,,,1.0,
sofa_t0.parquet,16499x2,stay_id,,,,1.0,
treatment_intensity.parquet,31857x5,subject_id;stay_id,,,,1.0,
