feature,mean_abs_shap
charlson_comorbidity_index,0.374673
admission_emergency,0.33007485
admission_age,0.26324564
rr_std,0.20151661
lactate,0.13216062
wbc_min,0.12099367
glu_std,0.10512454
wbc_std,0.10412234
na_last,0.101696834
spo2_std,0.09479064
bicarb_last,0.09231078
inr_last,0.09109733
hgb_std,0.07688019
mech_vent_24h,0.0746081
bicarb_min,0.07040866
hr_max,0.06928578
sbp_last,0.069142945
rr_mean,0.060040224
pre_icu_los_h,0.058122963
hr_mean,0.056962114
sbp_min,0.055707507
spo2_mean,0.053696934
plt_max,0.053052545
spo2_last,0.052825253
temp_max,0.05109614
na_mean,0.048655223
hr_last,0.045774367
temp_mean,0.043582305
cr_max,0.043105405
temp_min,0.040890783
mbp_min,0.040170114
cr_last,0.039854635
hgb_max,0.036388587
inr_min,0.035686485
z8,0.035123907
inr_std,0.034120608
z4,0.03385638
cr_mean,0.033413522
mbp_mean,0.032443773
temp_last,0.032242123
z3,0.031264856
wbc_last,0.031093132
mbp_last,0.030605648
site_bloodstream,0.03035497
hr_std,0.030204074
bili_min,0.03007435
temp_std,0.0282841
hgb_last,0.027962262
sbp_mean,0.027489867
rr_last,0.026735773
bili_mean,0.026032103
glu_last,0.025432602
site_other,0.02502406
hr_min,0.024707332
bili_last,0.024609711
dbp_mean,0.023991583
plt_min,0.023818273
glu_mean,0.023810074
na_std,0.023453582
z10,0.023065796
hgb_mean,0.021629935
z13,0.021257196
glu_max,0.021160096
sbp_std,0.021137832
rr_max,0.021049088
k_last,0.019342583
stay_id_1,0.018821241
z9,0.01870265
z2,0.018549103
plt_mean,0.018410904
na_max,0.017994493
plt_last,0.017329117
z11,0.016982572
z14,0.015960855
wbc_mean,0.015797608
inr_mean,0.015602808
rr_min,0.015256174
bicarb_mean,0.014999863
bili_std,0.014962917
na_min,0.014391816
z16,0.014042778
glu_min,0.013810481
z7,0.013766585
z5,0.01354443
k_mean,0.013522059
bili_max,0.013340493
dbp_max,0.013143398
hgb_min,0.012689329
plt_std,0.012241384
vaso_24h,0.012185068
mbp_max,0.011822629
cr_std,0.011672765
k_max,0.01141198
spo2_min,0.011014471
sbp_max,0.010736204
k_std,0.010596864
dbp_min,0.010589066
inr_max,0.010288865
z1,0.010281818
wbc_max,0.010130455
k_min,0.01011817
mbp_std,0.00989741
dbp_std,0.009048084
bicarb_std,0.0089322375
z12,0.00872057
dbp_last,0.0073682247
z15,0.0062656947
z6,0.006093523
bicarb_max,0.0042147185
cr_min,0.0036329029
site_urinary,0.0033542984
site_respiratory,0.002189145
male,0.0013801504
spo2_max,0.0013075377
site_abdominal,0.0
