auc1,rho,delta,power,mean_delta_auc_hat
0.75,0.85,0.01,0.285,-0.0103
0.75,0.85,0.015,0.497,-0.0147
0.75,0.85,0.02,0.7455,-0.0198
0.75,0.85,0.025,0.9245,-0.0254
0.75,0.85,0.03,0.9805,-0.0301
0.75,0.9,0.01,0.358,-0.0099
0.75,0.9,0.015,0.669,-0.0148
0.75,0.9,0.02,0.8985,-0.0199
0.75,0.9,0.025,0.9805,-0.0251
0.75,0.9,0.03,0.9995,-0.0299
0.75,0.95,0.01,0.635,-0.01
0.75,0.95,0.015,0.9355,-0.0151
0.75,0.95,0.02,0.9975,-0.0202
0.75,0.95,0.025,1.0,-0.0251
0.75,0.95,0.03,1.0,-0.03
0.775,0.85,0.01,0.277,-0.0098
0.775,0.85,0.015,0.531,-0.0147
0.775,0.85,0.02,0.786,-0.02
0.775,0.85,0.025,0.925,-0.025
0.775,0.85,0.03,0.987,-0.0299
0.775,0.9,0.01,0.3895,-0.01
0.775,0.9,0.015,0.714,-0.015
0.775,0.9,0.02,0.9345,-0.0201
0.775,0.9,0.025,0.987,-0.0246
0.775,0.9,0.03,0.9995,-0.0299
0.775,0.95,0.01,0.6595,-0.0101
0.775,0.95,0.015,0.944,-0.0149
0.775,0.95,0.02,0.9985,-0.02
0.775,0.95,0.025,1.0,-0.025
0.775,0.95,0.03,1.0,-0.03
0.8,0.85,0.01,0.3065,-0.01
0.8,0.85,0.015,0.576,-0.0148
0.8,0.85,0.02,0.8225,-0.0198
0.8,0.85,0.025,0.9555,-0.025
0.8,0.85,0.03,0.994,-0.0303
0.8,0.9,0.01,0.4275,-0.01
0.8,0.9,0.015,0.7625,-0.0151
0.8,0.9,0.02,0.942,-0.02
0.8,0.9,0.025,0.9925,-0.0253
0.8,0.9,0.03,1.0,-0.03
0.8,0.95,0.01,0.697,-0.0101
0.8,0.95,0.015,0.967,-0.015
0.8,0.95,0.02,0.999,-0.0199
0.8,0.95,0.025,1.0,-0.0252
0.8,0.95,0.03,1.0,-0.0301
