feature,mean_abs_shap
admission_emergency,0.44418052258419116
charlson_comorbidity_index,0.3888995547755956
mews,0.24127534437268505
lactate,0.1966609750314316
news,0.17166908151535418
admission_age,0.15426414657375562
sofa_score,0.07782001883702688
site_other,0.06725277040031823
site_bloodstream,0.06543496540705251
z2,0.041942593168525555
male,0.006808705690991806
site_respiratory,0.005983890032809107
z10,0.0011285691771466173
site_abdominal,0.0
vaso_24h,0.0
qsofa,0.0
pre_icu_los_h,0.0
site_urinary,0.0
mech_vent_24h,0.0
z3,0.0
z1,0.0
z5,0.0
z6,0.0
z7,0.0
z4,0.0
z8,0.0
z9,0.0
z11,0.0
z12,0.0
z13,0.0
z14,0.0
z15,0.0
z16,0.0
