亚组,水平,n,事件率,delta_auc,ci_lo,ci_hi,p_interaction
年龄,<65,860,0.14883720930232558,-0.005278094723389594,-0.011583656794152016,0.0012359666161979896,0.306
年龄,≥65,1357,0.21886514369933677,-0.0011241973445229216,-0.006140998589689209,0.0038757826737734337,0.306
性别,女,932,0.20493562231759657,0.0015730548602964892,-0.004397485076969365,0.007509255459662339,0.222
性别,男,1285,0.1821011673151751,-0.0028538875108296623,-0.007615494899184857,0.0018493374184529268,0.222
脓毒性休克,无,1809,0.15754560530679934,-0.0006573487345237437,-0.005508547576400122,0.004278497273952016,0.089
脓毒性休克,有,408,0.3431372549019608,-0.007916961819039638,-0.01490533074559322,-0.0009990786859649463,0.089
心室率,<100,1560,0.15897435897435896,-0.0028325122375862694,-0.007627730151395268,0.0024365919336628004,0.343
心室率,≥100,657,0.2694063926940639,0.00137509913128081,-0.0056430199601752275,0.008307732865176262,0.343
房颤,无,1931,0.17296737441740032,-0.0011102943550441067,-0.005426654464758018,0.0032131077725126565,0.792
房颤,有,286,0.3181818181818182,-0.002595153203665559,-0.012883842580032587,0.007925496640513393,0.792
SOFA三分位,T1,833,0.13925570228091236,0.0002989354473604544,-0.00739094491884702,0.008499642589138977,0.276
SOFA三分位,T2,853,0.1981242672919109,1.734898003778479e-05,-0.005986135810095186,0.005848435271554422,0.276
SOFA三分位,T3,531,0.263653483992467,-0.005264045249243765,-0.012038621556177872,0.0012603953508217214,0.276
感染部位,abdominal,9,0.3333333333333333,0.0,-1.1102230246251565e-16,1.1102230246251565e-16,0.135
感染部位,bloodstream,494,0.2550607287449393,-0.002148638240065628,-0.010074211780341114,0.005597676079131184,0.135
感染部位,other,1039,0.14148219441770934,-0.001886236146740833,-0.007942526165785436,0.004035352907177901,0.135
感染部位,respiratory,172,0.3081395348837209,0.011258377810434109,-0.004577194203963036,0.02925259630409454,0.135
感染部位,urinary,503,0.1908548707753479,0.0006509624348197937,-0.006966584567280934,0.008627196231731495,0.135
