Summary statistic,"Deceased (n=3,002)","Survivors (n=13,497)",Missing n (%),SMD,P,Variable
72.6±14.8 / 66.9±15.6,72.6±14.8,66.9±15.6,0(0.0%),0.371,<0.0001,Age (years)
,4.0(2.0-5.0),3.0(2.0-4.0),0(0.0%),0.326,<0.0001,SOFA total
,0.0(0.0-1.0),0.0(0.0-1.0),0(0.0%),-0.12,<0.0001,SOFA respiratory
,0.0(0.0-1.0),0.0(0.0-1.0),0(0.0%),-0.006,<0.0001,SOFA coagulation
,0.0(0.0-0.0),0.0(0.0-0.0),0(0.0%),0.243,<0.0001,SOFA liver
,1.0(0.0-3.0),1.0(0.0-1.0),0(0.0%),0.244,<0.0001,SOFA cardiovascular
,0.0(0.0-1.0),0.0(0.0-0.0),0(0.0%),0.07,<0.0001,SOFA neurological
,0.0(0.0-1.0),0.0(0.0-1.0),0(0.0%),0.209,<0.0001,SOFA renal
,3.0(2.0-3.0),3.0(2.0-3.0),0(0.0%),0.304,<0.0001,qSOFA
,14.0(11.0-16.0),12.0(10.0-14.0),0(0.0%),0.541,<0.0001,NEWS
,8.0(6.0-10.0),6.0(5.0-8.0),0(0.0%),0.553,<0.0001,MEWS
,2.3(1.5-4.2),1.6(1.1-2.3),3292(20.0%),0.597,<0.0001,Lactate (mmol/L)
,7.0(5.0-9.0),5.0(3.0-7.0),0(0.0%),0.615,<0.0001,Charlson index
,1.5(0.5-4.0),1.9(0.8-14.2),0(0.0%),0.089,<0.0001,Pre-ICU length of stay (h)
,-0.1(-0.9-1.4),0.1(-0.8-2.5),0(0.0%),-0.052,<0.0001,"ECG time from t0 (h, signed)"
,"1,640(54.6%)","8,011(59.4%)",0(0.0%),-0.096,<0.0001,Male
,"2,947(98.2%)","10,962(81.2%)",0(0.0%),0.58,<0.0001,Emergency admission
,"1,710(57.0%)","7,260(53.8%)",0(0.0%),0.064,0.00171,Invasive mechanical ventilation (t0±24 h)
,"1,646(54.8%)","6,277(46.5%)",0(0.0%),0.167,<0.0001,Vasoactive drugs (t0±24 h)
,375(12.5%),"1,064(7.9%)",0(0.0%),0.153,<0.0001,Infection site: respiratory
,27(0.9%),79(0.6%),0(0.0%),0.037,0.0685,Infection site: abdominal
,647(21.6%),"3,321(24.6%)",0(0.0%),-0.073,0.000437,Infection site: urinary
,"1,006(33.5%)","2,717(20.1%)",0(0.0%),0.306,<0.0001,Infection site: bloodstream
,947(31.5%),"6,316(46.8%)",0(0.0%),-0.316,<0.0001,Infection site: other
