M3 rank,M3 feature,M3 mean |SHAP|,M4 rank,M4 feature,M4 mean |SHAP|
1,admission_emergency,0.4441805225841911,1,charlson_comorbidity_index,0.4359588
2,charlson_comorbidity_index,0.3888995547755956,2,admission_emergency,0.43081078
3,mews,0.241275344372685,3,lactate,0.25891545
4,lactate,0.1966609750314316,4,mews,0.20249479
5,news,0.1716690815153541,5,news,0.19171004
6,admission_age,0.1542641465737556,6,admission_age,0.16313612
7,sofa_score,0.0778200188370268,7,pre_icu_los_h,0.1278552
8,site_other,0.0672527704003182,8,site_other,0.08295727
9,site_bloodstream,0.0654349654070525,9,sofa_score,0.077518575
10,z2,0.0419425931685255,10,site_bloodstream,0.071067765
11,male,0.0068087056909918,11,z2,0.04097063
12,site_respiratory,0.0059838900328091,12,z8,0.03306153
13,z10,0.0011285691771466,13,z4,0.030341208
14,site_abdominal,0.0,14,z10,0.029470824
15,vaso_24h,0.0,15,z3,0.027491087
