Type,ECG available,ECG unavailable,SMD,P,|SMD| > 0.1,Variable
Continuous,67.94±15.60,65.43±16.76,0.155,8.308336622155734e-36,True,Age (years)
Continuous,3.57±1.89,3.69±2.12,-0.061,0.0731641922303897,False,SOFA total
Continuous,0.66±1.06,0.57±1.03,0.092,1.3010688515891252e-22,False,SOFA respiratory
Continuous,0.48±0.80,0.53±0.88,-0.052,0.1006966840570452,False,SOFA coagulation
Continuous,0.24±0.72,0.34±0.87,-0.124,3.423650671787123e-26,True,SOFA liver
Continuous,1.15±1.24,1.04±1.23,0.091,2.956591312264961e-28,False,SOFA cardiovascular
Continuous,0.43±0.91,0.52±0.94,-0.098,2.1554486367142644e-31,False,SOFA neurological
Continuous,0.60±1.00,0.70±1.07,-0.093,7.428426446276818e-17,False,SOFA renal
Continuous,5.28±2.89,5.28±3.11,0.002,0.4217732894127062,False,Charlson index
Categorical,"58.5% (n=9,651)","57.0% (n=8,756)",0.03,0.0077130876143291,False,Male
Categorical,"54.4% (n=8,970)","49.5% (n=7,604)",0.097,4.873590305079908e-18,False,Invasive mechanical ventilation (t0±24 h)
Categorical,"48.0% (n=7,923)","33.8% (n=5,185)",0.293,3.776789488139908e-147,True,Vasoactive drugs (t0±24 h)
Categorical,"18.2% (n=3,002)","23.2% (n=3,569)",-0.125,1.210703160116277e-28,True,28-day all-cause mortality
